Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
extracellular matrix organization (GO:0030198)	21/92	1.9644e-13	1.8033444e-10	5.2525e-13	4.8218508e-10	-1.2118166276141993	35.45582209522603	col27a1a;col27a1b;col2a1a;col28a1a;col5a2a;col5a3b;col8a1a;col11a2;col17a1a;zgc:113232;col10a1a;col11a1b;col8a2;col4a5;col9a3;col9a2;col9a1a;loxl3a;col1a1a;col1a1b;col1a2
notochord morphogenesis (GO:0048570)	6/15	2.51269103346e-6	5.7666259218102e-4	9.55440508548e-6	0.00219273596711821	-2.624105940006256	33.83563201814143	col27a1a;col27a1b;col8a1a;fbn2b;loxl5b;ngs
entrainment of circadian clock by photoperiod (GO:0043153)	3/8	0.0012677818666351	0.14547796919637845	0.00224922644737592	0.18770817079010016	-3.390705551737746	22.61765549723996	per2;per3;per1a
pyrimidine dimer repair (GO:0006290)	2/6	0.01196531135148581	0.4576731591943323	0.01603738302583007	0.5031595967231233	-4.855453875701777	21.48899360524863	cry-dash;ddb2
response to light stimulus (GO:0009416)	14/84	1.4761602466e-7	4.517050354727e-5	1.4444008443e-7	4.419866583768e-5	-1.325649107437397	20.850672639874546	per2;per3;cry5;rhol;opn4a;rlbp1a;opn1sw1;opn1sw2;per1a;rho;opn1lw2;opn1mw1;npas2;ddb2
skeletal system development (GO:0001501)	18/137	1.1334075909e-7	4.517050354727e-5	6.308312029e-8	2.895515221424e-5	-1.220741505102137	19.52315651876011	col27a1a;col27a1b;col2a1a;cmn;egf;vcanb;col11a2;spp1;myhz2;matn1;camk1da;and2;and1;wisp3;col1a1a;col1a1b;col1a2;ucmab
photoperiodism (GO:0009648)	4/16	0.0010153294785597	0.13315320875968717	0.00139029608473806	0.1418102006432825	-2.812929463878709	19.388234781524165	per2;per3;per1a;npas2
quaternary ammonium group transport (GO:0015697)	2/6	0.01196531135148581	0.4576731591943323	0.01603738302583007	0.5031595967231233	-4.112556073147927	18.201118457608477	slc25a47a;slc22a21
AMP biosynthetic process (GO:0006167)	2/6	0.01196531135148581	0.4576731591943323	0.01603738302583007	0.5031595967231233	-3.8987185274894	17.25472832213345	adssl1;adss
cellular response to radiation (GO:0071478)	8/47	6.084999335233e-5	0.01117205877948899	6.380282656319e-5	0.01171419895700214	-1.7435732805551285	16.925038182692273	opn1sw1;opn1sw2;rhol;rho;opn4a;opn1lw2;opn1mw1;bbc3
cardiac cell development (GO:0055006)	3/13	0.00580166759541624	0.313290050152477	0.00695459960029891	0.3546845796152445	-3.195607826356892	16.456133655356677	fbn2b;mef2ca;mef2cb
response to hydrogen peroxide (GO:0042542)	2/8	0.02148063678002576	0.5329520152449635	0.02493314435466147	0.5201960572177099	-4.1663847953377475	16.00143146289366	per2;per1a
