Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
inflammatory response to wounding (GO:0090594)	2/8	0.00815176808969097	0.3470941898077092	0.00585161863151561	0.2204109684537547	-5.381963092752038	25.884661457449923	irg1l;mmp9
zymogen activation (GO:0031638)	2/7	0.00618588653611226	0.3470941898077092	0.004717581919599	0.21239236507339024	-4.29273542422945	21.83064138108084	plaua;plaub
response to nutrient levels (GO:0031667)	2/13	0.02142188847580222	0.5626483874781306	0.01313808355086255	0.3074748441771868	-3.933282723397812	15.116950899975006	smtla;prl
chaperone mediated protein folding requiring cofactor (GO:0051085)	3/18	0.0036828301728681	0.3470941898077092	0.00182904322009554	0.15817923238232529	-2.645290310631309	14.824402000643689	dnajb1a;hspa5;dnajb1b
positive regulation of STAT cascade (GO:1904894)	2/12	0.0183382542206875	0.5180556817344221	0.01147419041214174	0.28812967034933723	-3.594090085640374	14.371925258384843	smtla;prl
protein peptidyl-prolyl isomerization (GO:0000413)	2/11	0.01546091796684443	0.5180556817344221	0.00991097355022673	0.28812967034933723	-3.2246444365380125	13.444961050245809	fkbp4;ppil3
tricarboxylic acid transport (GO:0006842)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-5.728512523769879	13.098203268959573	slc13a1
peptidyl-proline modification (GO:0018208)	2/12	0.0183382542206875	0.5180556817344221	0.01147419041214174	0.28812967034933723	-2.9849668071666215	11.93618379871931	fkbp4;ppil3
'de novo' posttranslational protein folding (GO:0051084)	3/19	0.0043165383696289	0.3470941898077092	0.00209972432365918	0.15817923238232529	-2.14881510445042	11.70094611421096	dnajb1a;hspa5;dnajb1b
positive regulation of JAK-STAT cascade (GO:0046427)	2/15	0.02817562845415735	0.5626483874781306	0.01675772717295426	0.3126780789027421	-3.159445773073027	11.277003206980392	smtla;prl
collagen fibril organization (GO:0030199)	3/23	0.00748795749878587	0.3470941898077092	0.00342540306944609	0.19188424280296967	-2.2975994105912183	11.245506609230803	serpinh1b;serpinh1a;mmp9
macromolecular complex assembly (GO:0065003)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-4.74919087641355	10.858991265923924	bmp7a
drug catabolic process (GO:0042737)	4/42	0.00635839082817282	0.3470941898077092	0.00205802074418164	0.15817923238232529	-2.118624844700645	10.71596198200398	cyp2aa9;cyp2aa8;cyp2aa4;cyp2x6
regulation of JAK-STAT cascade (GO:0046425)	2/15	0.02817562845415735	0.5626483874781306	0.01675772717295426	0.3126780789027421	-2.9476138303544137	10.520911895732723	smtla;prl
monovalent inorganic cation transport (GO:0015672)	2/17	0.03565948974988789	0.5626483874781306	0.02075001112909525	0.34737055667966876	-3.140533407789921	10.469721765634594	ca15a;slc13a1
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-4.534274029960992	10.36758542032636	mt2
positive regulation of blood vessel endothelial cell migration (GO:0043536)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-4.286659264991198	9.801416015875862	mt2
T-tubule organization (GO:0033292)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-4.135409661780365	9.455584870533224	tcap
response to prostaglandin (GO:0034694)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-4.021338448208475	9.194761849495602	fabp11b
DNA replication-independent nucleosome assembly (GO:0006336)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-4.226022250096996	9.048235544119771	nasp
positive regulation of tyrosine phosphorylation of STAT protein (GO:0042531)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-4.210648810902902	9.015319839771983	smtla
columnar/cuboidal epithelial cell differentiation (GO:0002065)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-3.919199711825649	8.961222352946415	agr2
exogenous drug catabolic process (GO:0042738)	4/42	0.00635839082817282	0.3470941898077092	0.00205802074418164	0.15817923238232529	-1.7553625169009657	8.87858841209965	cyp2aa9;cyp2aa8;cyp2aa4;cyp2x6
intestinal epithelial cell differentiation (GO:0060575)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-4.1451694604895835	8.875123562811526	agr2
locus ceruleus development (GO:0021703)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-4.136462566727679	8.85648144004146	bmp7a
ventricular cardiac muscle cell differentiation (GO:0055012)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-4.089892355278443	8.75677106995941	cmlc1
purine nucleotide metabolic process (GO:0006163)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-3.7438561691511185	8.560300585852318	prps1a
nucleosome assembly (GO:0006334)	4/22	5.4845822194538e-4	0.2479031163193124	2.2608331416072e-4	0.10218965800064686	-1.1351975483576804	8.523516646571865	nasp;zgc:173552;zgc:173585;zgc:194989
retinol metabolic process (GO:0042572)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-3.949399581021152	8.455965338589293	zgc:154169
regulation of mesodermal cell differentiation (GO:1905770)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-3.677520057416304	8.408623536710909	vox
metal ion transport (GO:0030001)	2/17	0.03565948974988789	0.5626483874781306	0.02075001112909525	0.34737055667966876	-2.51979476578561	8.400340540508099	ca15a;slc13a1
positive regulation of ATP-dependent microtubule motor activity, plus-end-directed (GO:2000582)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-3.917063989767969	8.386732374633539	dynll1
positive regulation of ATPase activity (GO:0032781)	1/9	0.1485028347987774	0.5626483874781306	0.11208949263994782	0.3905853428686073	-4.3681752626277595	8.330770830949712	dynll1
growth hormone receptor signaling pathway (GO:0060396)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-3.848465584658313	8.239857963982038	smtla
axon ensheathment in central nervous system (GO:0032291)	1/8	0.13315351223500915	0.5626483874781306	0.10146570524150512	0.3905853428686073	-4.080496937352973	8.227312514498447	plp1a
nucleotide metabolic process (GO:0009117)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-3.5909505092140996	8.21068287854713	prps1a
cellular response to growth hormone stimulus (GO:0071378)	1/7	0.11752829422210356	0.5626483874781306	0.09071591375919692	0.3905853428686073	-3.7745632227416497	8.081627377791111	smtla
replication fork arrest (GO:0043111)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-3.5323636881788705	8.076724527645842	tipin
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay (GO:0043928)	1/9	0.1485028347987774	0.5626483874781306	0.11208949263994782	0.3905853428686073	-4.185859287668278	7.983066694807767	cnot7
histone H3-K4 methylation (GO:0051568)	1/9	0.1485028347987774	0.5626483874781306	0.11208949263994782	0.3905853428686073	-4.13830515307995	7.892373768471019	unga
positive regulation of macromolecule metabolic process (GO:0010604)	3/27	0.01174051965534136	0.44222624035119135	0.00516884074293648	0.21239236507339024	-1.7711070208991009	7.872055673347184	acta2;zgc:86709;klf1
nucleoside triphosphate metabolic process (GO:0009141)	1/6	0.10162223597718588	0.5626483874781306	0.07983863686759216	0.3905853428686073	-3.435677684913114	7.855652666707542	dctpp1
