Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Steroid biosynthesis	5/19	1.7830732237595e-4	0.00517091234890275	2.1724648803016e-4	0.00626488976384409	-71.8544193689126	620.2474892733406	cyp24a1;dhcr24;fdft1;msmo1;lss
Hedgehog signaling pathway	5/56	0.02409151692269741	0.26199524653433437	0.01497667261547193	0.1628713146932573	-112.92721678435778	420.75500832027893	arr3a;dhh;ihhb;ptch1;arr3b
ECM-receptor interaction	13/79	4.7888726852e-7	4.166319236202e-5	2.2013976871e-7	1.915215987858e-5	-14.356083658686584	208.9068670102039	col2a1a;chad;thbs4a;itgb4;col4a5;col9a3;lama2;col9a2;col9a1a;col9a1b;col1a1a;col1a1b;col1a2
Arginine and proline metabolism	5/61	0.03334819719042322	0.2901293155566821	0.02046794146186079	0.17807109071818888	-55.87477275332707	190.01622090391191	p4ha1b;arg1;ckmt2a;agmat;pycr1a
Alanine, aspartate and glutamate metabolism	3/41	0.1188819339856234	0.7387663040535168	0.08771988516635416	0.5087753339648542	-55.94043627470244	119.13211970203288	adssl1;agxtb;adss
Phototransduction	7/37	8.755950532872e-5	0.00380883848179975	7.164820742429e-5	0.00311669702295693	-11.504578438811023	107.48948448320527	grk1a;grk1b;gngt1;rho;grk7a;saga;guca1b
Histidine metabolism	2/25	0.16655260087091747	0.85235742798646	0.13592466072656395	0.6223918675374245	-50.15138698143468	89.89355761681144	hal;uroc1
Glycosaminoglycan degradation	1/21	0.4657951790258774	0.9959795958758689	0.41420661143752335	0.875395485295985	-113	86.33304767560112	hyal6
Sulfur metabolism	1/9	0.23556793284832145	0.9573695275654066	0.21560110830516643	0.7815540176062283	-49.98664524548823	72.26848953036892	ethe1
Starch and sucrose metabolism	2/34	0.2640548910494792	0.992167161621398	0.21321286681877105	0.7815540176062283	-51.83636463238362	69.02521382038792	gyg1b;gyg2
Linoleic acid metabolism	1/17	0.39800154788837583	0.9959795958758689	0.3542901601191016	0.875395485295985	-62.56655998976128	57.64253321125749	cyp3a65
Riboflavin metabolism	1/8	0.2124033247537588	0.9274975903484933	0.1963048685803936	0.7762965257497383	-34.53956819790674	53.51105936438312	acp5b
Primary bile acid biosynthesis	3/21	0.02267477722536543	0.26199524653433437	0.01888783406658904	0.17807109071818888	-11.063243723168911	41.89099567588725	cyp46a1.3;zgc:123299;cyp46a1.1
Purine metabolism	10/151	0.01393249099619655	0.20202111944485004	0.00507808913927928	0.07363229251954957	-9.02925151401577	38.58679243486264	nme2a;adssl1;zgc:103559;adcy7;ampd1;adcy1b;guk1b;adss;adcy1a;pde10a
Retinol metabolism	3/40	0.11250622211816425	0.7387663040535168	0.0831346165231286	0.5087753339648542	-16.25498050349005	35.51301584500748	cyp1a;cyp3a65;zgc:109982
Arginine biosynthesis	1/24	0.5115892617472437	0.9959795958758689	0.4554900138113976	0.875395485295985	-45.9359879179977	30.787824133605696	arg1
Steroid hormone biosynthesis	2/37	0.2969799426114984	0.992167161621398	0.2399087660447038	0.7855605914507445	-22.727339501002024	27.593050972874195	cyp1a;cyp3a65
Adipocytokine signaling pathway	5/86	0.10920533340546132	0.7387663040535168	0.06667633990782848	0.4462185824600829	-10.951502405234818	24.252379983411167	camkk1b;irs2a;lepb;adipoqb;pck1
Base excision repair	1/37	0.6688292173310678	0.9959795958758689	0.6034626578949218	0.875395485295985	-59	23.73136538594091	mpg
Fructose and mannose metabolism	2/42	0.3512365455386387	0.9959795958758689	0.28466809073128696	0.8540042721938608	-22.61583435062315	23.662842624644146	pfkma;pfkfb3
Galactose metabolism	1/33	0.6267654874995576	0.9959795958758689	0.5627875135167212	0.875395485295985	-44.3531258749206	20.721018929460772	pfkma
