Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Metal Ion Transport (GO:0030001)	17/180	7.828160258838919e-9	1.4568206241699227e-5	0	0	6.521079125373604	121.71945227051344	KCNG1;RYR1;KCNF1;SLC12A3;KCNH5;TRPC3;CHRNA4;ATP1A4;SLC4A11;SLC5A12;CACNG7;CDH23;KCNN1;SLC17A7;CACNA1S;SCN4B;KCNK3
Skeletal System Development (GO:0001501)	15/160	6.636880049678537e-8	6.175616886225878e-5	0	0	6.432901383703053	106.32324342791692	PTGER4;GDF10;UCMA;COL11A2;IHH;STC1;HOXA11;COL1A1;VCAN;COL1A2;COL2A1;EPYC;COL10A1;COL9A2;MATN3
Extracellular Matrix Organization (GO:0030198)	15/182	3.601306149295959e-7	2.2340102479465932e-4	0	0	5.579160151035508	82.7768780401208	COL11A1;COL11A2;LOXL3;COL1A1;ADAMTS5;COL1A2;COL2A1;P4HA1;COL5A2;COL8A2;COL9A1;MATN1;COL10A1;COL9A2;MATN3
Modulation of Chemical Synaptic Transmission (GO:0050804)	12/117	5.258768476124372e-7	2.325818396326125e-4	0	0	7.053988283010365	101.9879647990936	GRM3;SLC8A3;MEF2C;NLGN1;GRM6;LRRK2;ADIPOQ;CASK;EIF4EBP2;DLGAP3;CPLX4;SLC8A2
Collagen Fibril Organization (GO:0030199)	8/45	6.248840398511889e-7	2.325818396326125e-4	0	0	13.224888439841711	188.92678535533173	COL1A1;COL1A2;COL2A1;P4HA1;COL11A1;COL11A2;COL5A2;LOXL3
External Encapsulating Structure Organization (GO:0045229)	11/111	2.211820208804152e-6	5.88028201226361e-4	0	0	6.769842767295597	88.15482607221827	ADAMTS5;COL1A2;COL2A1;COL11A1;COL5A2;COL8A2;COL9A1;MATN1;COL10A1;COL9A2;MATN3
Extracellular Structure Organization (GO:0043062)	11/111	2.211820208804152e-6	5.88028201226361e-4	0	0	6.769842767295597	88.15482607221827	ADAMTS5;COL1A2;COL2A1;COL11A1;COL5A2;COL8A2;COL9A1;MATN1;COL10A1;COL9A2;MATN3
Regulation of Carbohydrate Metabolic Process (GO:0006109)	5/15	3.064480658804357e-6	7.128748132543635e-4	0	0	30.34104938271605	385.1988109710359	PDK4;GNB3;FOXK1;MLYCD;PDK2
Cartilage Development (GO:0051216)	8/57	4.035752679888004e-6	8.345039708079529e-4	0	0	9.98003687456291	123.95522899778852	MEF2C;COL2A1;SNX19;EPYC;COL11A2;IHH;RUNX2;HOXA11
Regulation of Glucose Metabolic Process (GO:0010906)	6/28	5.254750339963323e-6	9.262181157201714e-4	0	0	16.590768364762173	201.6836526111468	PDK4;GNB3;FOXK1;IRS2;MLYCD;PDK2
Monoatomic Ion Transport (GO:0006811)	10/100	5.91458786274158e-6	9.262181157201714e-4	0	0	6.820271682340648	82.10303574013015	SLC8A3;PANX2;SLC12A3;SLC32A1;CHRNA4;ATP1A4;SLC5A12;SLC17A7;SLC1A7;SLC8A2
Sensory Perception of Light Stimulus (GO:0050953)	10/101	6.4700889330264525e-6	9.262181157201714e-4	0	0	6.744979158772262	80.59117413149073	COL1A1;COL2A1;PRPH2;COL11A1;ROM1;GUCA1B;PCDH15;CDH23;CABP1;ARR3
Visual Perception (GO:0007601)	10/101	6.4700889330264525e-6	9.262181157201714e-4	0	0	6.744979158772262	80.59117413149073	COL1A1;COL2A1;PRPH2;GRM6;COL11A1;ROM1;GUCA1B;CABP1;REEP6;ARR3
Glucan Biosynthetic Process (GO:0009250)	4/9	8.487824898539468e-6	0.00105305614241213	0	0	48.40861538461539	565.261485643423	PER2;NR1D1;GYG2;GYG1
Glycogen Biosynthetic Process (GO:0005978)	4/9	8.487824898539468e-6	0.00105305614241213	0	0	48.40861538461539	565.261485643423	PER2;NR1D1;GYG2;GYG1
Negative Regulation of Multicellular Organismal Process (GO:0051241)	15/243	1.3007234184715297e-5	0.00144827241901305	0	0	4.073709353000336	45.8292500990433	PTGER4;GDF10;PTPRU;MEF2C;PTCH1;SRF;ARRDC3;ADIPOQ;STC1;NR1D1;HOXC10;SPRED3;ADAMTS5;RGCC;SPRY1
Regulation of Small Molecule Metabolic Process (GO:0062012)	6/33	1.4414387951723595e-5	0.00144827241901305	0	0	13.514963880288958	150.65513639178238	ADIPOQ;PDK4;GNB3;FOXK1;MLYCD;PDK2
