Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Response to Unfolded Protein (GO:0006986)	6/44	4.050195221472006e-7	4.187901859002053e-4	0	0	25.049684210526316	368.71458252298027	DNAJA1;HSP90AA1;HSPA4;SERPINH1;HSPB1;HSPA2
Platelet Aggregation (GO:0070527)	4/35	7.863276432528931e-5	0.04065313915617458	0	0	20.15544831089662	190.4835407159334	FIBP;HSPB1;GATA1;MYL9
Homotypic Cell-Cell Adhesion (GO:0034109)	4/46	2.317968640714278e-4	0.06370612403346647	0	0	14.868391451068616	124.44321995574072	FIBP;HSPB1;GATA1;MYL9
Negative Regulation of Type I Interferon-Mediated Signaling Pathway (GO:0060339)	3/19	2.4644535409464784e-4	0.06370612403346647	0	0	29.08154296875	241.6202271905208	CNOT7;ISG15;TTLL12
Response to Endoplasmic Reticulum Stress (GO:0034976)	7/196	3.126241536712845e-4	0.06465067497922164	0	0	5.878136200716846	47.4395503818647	HSPA5;UBXN10;DNAJB9;HYOU1;PDIA6;PDIA4;HSP90B1
Negative Regulation of IRE1-mediated Unfolded Protein Response (GO:1903895)	2/5	4.2029234600381274e-4	0.07243038096132373	0	0	102.66666666666669	798.1881627629406	HSPA5;DNAJB9
Regulation of Triglyceride Metabolic Process (GO:0090207)	2/6	6.277332252970674e-4	0.07414797642296303	0	0	76.99612403100775	567.7228576803623	CIDEB;CIDEC
Positive Regulation of Striated Muscle Contraction (GO:0045989)	2/6	6.277332252970674e-4	0.07414797642296303	0	0	76.99612403100775	567.7228576803623	RGS2;NPPA
Negative Regulation of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	4/60	6.453885762153455e-4	0.07414797642296303	0	0	11.14341957255343	81.85574889446787	DNAJA1;HSPB1;HYOU1;MMP9
Negative Regulation of Muscle Hypertrophy (GO:0014741)	2/7	8.75056732408768e-4	0.07507741826733735	0	0	61.5937984496124	433.6955986468554	RGS2;P2RX4
Regulation of Protein Ubiquitination (GO:0031396)	5/113	8.906303221566667e-4	0.07507741826733735	0	0	7.260802469135802	50.9968351293427	DNAJA1;HSP90AA1;CHORDC1;ISG15;HSPBP1
Negative Regulation of Cytokine-Mediated Signaling Pathway (GO:0001960)	4/67	9.792795014390314e-4	0.07507741826733735	0	0	9.901762279715037	68.60627554307304	CNOT7;APOA1;ISG15;TTLL12
Nucleoside Phosphate Metabolic Process (GO:0006753)	3/31	0.00107945916830791	0.07507741826733735	0	0	16.607979910714285	113.45401233897792	ACSL6;NUDT5;DCK
Negative Regulation of MAP Kinase Activity (GO:0043407)	3/31	0.00107945916830791	0.07507741826733735	0	0	16.607979910714285	113.45401233897792	DNAJA1;RGS2;NPPA
Negative Regulation of Mitotic Nuclear Division (GO:0045839)	2/8	0.00116173954765705	0.07507741826733735	0	0	51.325581395348834	346.8499020731412	CHEK1;BMP7
Negative Regulation of DNA-templated DNA Replication (GO:2000104)	2/8	0.00116173954765705	0.07507741826733735	0	0	51.325581395348834	346.8499020731412	TIPIN;DYNLL1
Chromatin Organization (GO:0006325)	8/323	0.00131710900126422	0.07689151751016504	0	0	4.037475803329462	26.77781575290316	H4C15;NASP;PRMT2;CHEK1;H2BC1;NUCKS1;NUDT5;SAFB
Negative Regulation of Epithelial Cell Proliferation (GO:0050680)	4/73	0.00134924426297513	0.07689151751016504	0	0	9.03800068469702	59.72501236562811	ALOX5;CXCR3;PRL;B2M
Regulation of Cardiac Muscle Contraction (GO:0055117)	3/34	0.00141661346428507	0.07689151751016504	0	0	14.998487903225806	98.3823735227885	RGS2;P2RX4;NPPA
Regulation of Receptor Binding (GO:1900120)	2/9	0.00148726339478075	0.07689151751016504	0	0	43.991140642303435	286.41828814216444	B2M;MMP9
Regulation of Type I Interferon-Mediated Signaling Pathway (GO:0060338)	3/36	0.00167423540067408	0.07792252779076143	0	0	14.088068181818182	90.05654866238584	CNOT7;ISG15;TTLL12
Negative Regulation of Nuclear Division (GO:0051784)	2/10	0.00185111499983356	0.07792252779076143	0	0	38.49031007751938	242.1797654013784	CHEK1;BMP7
Negative Regulation of JUN Kinase Activity (GO:0043508)	2/10	0.00185111499983356	0.07792252779076143	0	0	38.49031007751938	242.1797654013784	DNAJA1;NPPA
Regulation of Cellular Response to Oxidative Stress (GO:1900407)	2/10	0.00185111499983356	0.07792252779076143	0	0	38.49031007751938	242.1797654013784	ALOX5;BMP7
Negative Regulation of Endothelial Cell Proliferation (GO:0001937)	3/38	0.00195936723651817	0.07792252779076143	0	0	13.28169642857143	82.81315294680145	ALOX5;CXCR3;PRL
Positive Regulation of Bone Mineralization (GO:0030501)	3/38	0.00195936723651817	0.07792252779076143	0	0	13.28169642857143	82.81315294680145	ALOX5;ISG15;BMP7
Positive Regulation of Ossification (GO:0045778)	3/42	0.00261607642377464	0.09597563624898428	0	0	11.917067307692308	70.85983118944941	ALOX5;ISG15;BMP7
Relaxation of Cardiac Muscle (GO:0055119)	2/12	0.00269177316365623	0.09597563624898428	0	0	30.789147286821706	182.19647659489397	RGS2;P2RX4
Regulation of PERK-mediated Unfolded Protein Response (GO:1903897)	2/12	0.00269177316365623	0.09597563624898428	0	0	30.789147286821706	182.19647659489397	HSPA5;AGR2
Positive Regulation of Biomineral Tissue Development (GO:0070169)	3/43	0.00279893456857642	0.09633163151768792	0	0	11.6185546875	68.2998648026715	ALOX5;ISG15;BMP7
Substantia Nigra Development (GO:0021762)	3/44	0.00298948265509183	0.09633163151768792	0	0	11.334603658536585	65.88413985355811	HSPA5;PLP1;DYNLL1
ERAD Pathway (GO:0036503)	4/91	0.00302676913935115	0.09633163151768792	0	0	7.161553081726853	41.538866433083825	HSPA5;UBXN10;DNAJB9;HSP90B1
Nucleotide Metabolic Process (GO:0009117)	2/13	0.00316757782553325	0.09633163151768792	0	0	27.98872445384073	161.06917775087956	NUDT5;DCK
