Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cellular Response to Zinc Ion (GO:0071294)	13/17	1.4059814362824009e-22	1.81512203424058e-19	0	0	287.9820627802691	14490.144767669246	MT1M;MT1X;MT4;MT3;MT2A;MT1A;P2RX4;MT1F;MT1G;MT1H;MT1B;MT1E;MT1HL1
Response to Cadmium Ion (GO:0046686)	12/16	9.596378113702228e-21	6.194462072394787e-18	0	0	264.64285714285717	12198.157069003622	MT2A;MT1A;MT1M;MT1F;MT1G;MT1X;MT1H;MT4;MT1B;MT3;MT1E;MT1HL1
Cellular Response to Cadmium Ion (GO:0071276)	12/17	3.229187807521732e-20	1.042220364877639e-17	0	0	211.70357142857145	9501.144338357282	MT2A;MT1A;MT1M;MT1F;MT1G;MT1X;MT1H;MT4;MT1B;MT3;MT1E;MT1HL1
Cellular Response to Copper Ion (GO:0071280)	12/17	3.229187807521732e-20	1.042220364877639e-17	0	0	211.70357142857145	9501.144338357282	MT2A;MT1A;MT1M;MT1F;MT1G;MT1X;MT1H;MT4;MT1B;MT3;MT1E;MT1HL1
Response to Copper Ion (GO:0046688)	12/21	1.4716088173589371e-18	3.799693966420775e-16	0	0	117.58928571428572	4828.236701055384	MT2A;MT1A;MT1M;MT1F;MT1G;MT1X;MT1H;MT4;MT1B;MT3;MT1E;MT1HL1
Response to Zinc Ion (GO:0010043)	13/28	1.9733060048075782e-18	4.245896753677639e-16	0	0	76.752466367713	3128.9540855573528	MT1M;MT1X;MT4;MT3;MT2A;MT1A;P2RX4;MT1F;MT1G;MT1H;MT1B;MT1HL1;MT1E
Intracellular Zinc Ion Homeostasis (GO:0006882)	12/29	2.3913425226533013e-16	4.4103188524934454e-14	0	0	62.22794117647059	2238.308338033178	MT2A;MT1A;MT1M;MT1F;MT1G;MT1X;MT1H;MT4;MT1B;MT3;MT1HL1;MT1E
Cellular Response to Metal Ion (GO:0071248)	15/112	4.362868091562819e-12	7.040578382759499e-10	0	0	13.7614871483883	359.971487096139	CLIC4;MT1M;MT1X;MT4;MT3;MT2A;MT1A;P2RX4;MT1F;MT1G;MT1H;MT1B;B2M;MT1HL1;MT1E
Termination of RNA Polymerase II Transcription (GO:0006369)	7/12	2.1946121782952017e-11	3.1480492468656723e-9	0	0	120.79737991266376	2964.661322369016	SSU72L6;SSU72L5;SSU72L4;SSU72;SSU72L3;SSU72L2;SSU72L1
One-Carbon Compound Transport (GO:0019755)	7/16	3.045080886058321e-10	3.931199423901293e-8	0	0	67.09606986899563	1470.230786237612	HBG2;HBG1;HBE1;AQP6;HBB;AQP5;HBD
Carbon Dioxide Transport (GO:0015670)	6/11	1.113886154190846e-9	1.3072972955094382e-7	0	0	103.0904347826087	2125.251672509688	HBG2;HBG1;HBE1;AQP6;HBB;HBD
DNA-templated Transcription Termination (GO:0006353)	7/20	1.982102735801841e-9	2.132412193266814e-7	0	0	46.4417198522002	930.6506197598306	SSU72L6;SSU72L5;SSU72L4;SSU72;SSU72L3;SSU72L2;SSU72L1
Gas Transport (GO:0015669)	6/15	1.1599155758528832e-8	1.151885391096979e-6	0	0	57.26086956521739	1046.2897063935388	HBG2;HBG1;HBE1;AQP6;HBB;HBD
Response to Unfolded Protein (GO:0006986)	8/44	4.102067605560209e-8	3.78269234198445e-6	0	0	19.228070175438596	327.05389131991086	DNAJA1;DNAJB1;TRAM1;HSP90AA1;HSPA4;SERPINH1;HSPB1;HSPA2
