Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Assembly of Collagen Fibrils and Other Multimeric Structures	13/61	1.6469010613872546e-11	1.2121191811810192e-8	0	0	16.81823575949367	417.589068376973	COL11A1;COL11A2;LOXL3;PCOLCE;COL1A1;COL2A1;COL1A2;COL5A2;COL8A2;COL9A1;COL10A1;COL9A2;CTSB
Collagen Formation	14/90	2.3647137007050424e-10	8.702146418594555e-8	0	0	11.45906432748538	253.99238355758663	COL11A1;COL11A2;LOXL3;PCOLCE;COL1A1;COL2A1;COL1A2;P4HA1;COL5A2;COL8A2;COL9A1;COL10A1;COL9A2;CTSB
Collagen Biosynthesis and Modifying Enzymes	12/67	8.575763912898753e-10	2.103920746631161e-7	0	0	13.501118439919702	281.86164611035474	COL1A1;COL2A1;COL1A2;P4HA1;COL11A1;COL11A2;COL5A2;COL8A2;COL9A1;COL10A1;PCOLCE;COL9A2
Collagen Chain Trimerization	10/44	1.913127404568661e-9	3.520154424406337e-7	0	0	18.105292273649273	363.4551704311066	COL1A1;COL1A2;COL2A1;COL11A1;COL11A2;COL5A2;COL8A2;COL9A1;COL10A1;COL9A2
Extracellular Matrix Organization	22/300	5.757180590272264e-9	8.472759435923269e-7	0	0	4.999015771096478	94.84541621882454	LAMA2;COL11A1;COL11A2;LOXL3;CASK;PCOLCE;F11R;COL1A1;ADAMTS5;VCAN;COL1A2;COL2A1;P4HA1;CAPNS2;COL5A2;COL8A2;COL9A1;MATN1;COL10A1;COL9A2;MATN3;CTSB
Collagen Degradation	11/64	6.907140844502664e-9	8.472759435923269e-7	0	0	12.803963450812864	240.59556476528763	COL1A1;COL2A1;COL1A2;COL11A1;COL11A2;COL5A2;COL8A2;COL9A1;COL10A1;COL9A2;CTSB
MET Activates PTK2 Signaling	7/30	4.4970493849425027e-7	3.943176633102194e-5	0	0	18.570888468809073	271.4074838607791	COL1A1;COL1A2;COL2A1;LAMA2;COL11A1;COL11A2;COL5A2
ECM Proteoglycans	10/76	4.620205369419775e-7	3.943176633102194e-5	0	0	9.311769734967228	135.83689825048907	COL1A1;VCAN;COL2A1;COL1A2;LAMA2;COL5A2;MATN1;COL9A1;COL9A2;MATN3
Non-integrin membrane-ECM Interactions	9/59	4.821819252434748e-7	3.943176633102194e-5	0	0	11.0368125	160.52982367837515	COL1A1;COL2A1;COL1A2;LAMA2;COL11A1;COL11A2;COL5A2;COL10A1;CASK
Degradation of the Extracellular Matrix	13/140	5.61743188696979e-7	4.134429868809765e-5	0	0	6.330908003588159	91.11582744184746	COL11A1;COL11A2;COL1A1;ADAMTS5;COL1A2;COL2A1;CAPNS2;COL5A2;COL8A2;COL9A1;COL10A1;COL9A2;CTSB
Neuronal System	22/411	1.3982173436433217e-6	9.35534513564986e-5	0	0	3.55211307704546	47.8835941671377	KCNG1;KCNF1;NLGN1;KCNH5;SLC32A1;CHRNA4;CASK;ADCY1;ADCY7;SLC1A7;CAMKK1;GABRR3;PANX2;GRIP1;KCNV2;GNGT2;IL1RAPL1;KCNN1;GNB3;SLC17A7;DLGAP3;KCNK3
MET Promotes Cell Motility	7/41	4.252086312184921e-6	2.6079462714734183e-4	0	0	12.555626598465471	155.28925535807042	COL1A1;COL1A2;COL2A1;LAMA2;COL11A1;COL11A2;COL5A2
Integrin Cell Surface Interactions	9/85	1.0863626291389547e-5	6.150483808048235e-4	0	0	7.251439144736843	82.88460485686497	COL1A1;COL2A1;COL1A2;COL5A2;COL8A2;COL9A1;COL10A1;COL9A2;F11R
Circadian Clock	8/70	1.9156322393504533e-5	0.00100707523440138	0	0	7.882222892171641	85.62362364224428	PER2;PER1;MEF2C;DBP;ELOVL3;BHLHE41;NR1D1;KLF15
Aquaporin-mediated Transport	7/52	2.1671956493585968e-5	0.00106337066528528	0	0	9.481159420289854	101.82283063152666	GNGT2;AQP8;AQP6;GNB3;AQP4;ADCY1;ADCY7
Visual Phototransduction	9/99	3.7351113301620184e-5	0.0017181512118745199	0	0	6.1190625	62.384746826991595	GRK1;OPN1SW;RDH8;DHRS9;GRK7;GUCA1B;SAG;RHO;RLBP1
Transport of Small Molecules	27/724	7.051629607199026e-5	0.00305294081817557	0	0	2.433789086624797	23.266212546831294	RYR1;AQP8;AQP6;ATP1A4;SLC5A12;AQP4;ADCY1;ADCY7;SLC1A7;CLCN1;SLC8A2;GNGT2;APOD;SLC17A7;ASIC2;ABCA1;SLC13A2;SLC12A3;SLC32A1;TRPC3;CYBRD1;SLC16A10;SLC8A3;SLCO4A1;GNB3;RHCG;CFTR
Signal Transduction	67/2613	1.277608681935982e-4	0.00522399994391601	0	0	1.720068300522298	15.421014782856911	PTPRU;LRRK2;PMCH;IHH;IRS2;F11R;RXFP1;GRM3;SPRED3;FGF6;GNGT2;CAPZB;GRM6;PDK4;RAG2;PDK2;MEF2C;TRPC3;USP2;TSC1;DNM1;MAG;COL2A1;MAPKAPK2;UTS2;ULK1;CFTR;VCL;PTGER4;LAMA2;DHH;COL11A1;SRF;COL11A2;ADCY1;PRICKLE1;ADCY7;CAMKK1;FOXO1;THBS4;TBXA2R;RHO;APOD;PCK1;S1PR4;DRD4;BCL9L;ABCA1;EGR2;ZRANB1;OPN4;EGF;PTCH1;ESR2;EPOR;COL1A1;OPN1SW;COL1A2;PDE10A;DHRS9;COL5A2;COL9A1;MYF6;GNB3;SPRY1;COL9A2;VIM
RUNX2 Regulates Bone Development	5/31	1.3969035105164827e-4	0.00541116307231648	0	0	11.660137701804368	103.49634260690397	COL1A1;UCMA;IHH;SP7;RUNX2
Muscle Contraction	12/204	1.4997037326923128e-4	0.00551890973630771	0	0	3.840496845425867	33.81585429261407	RYR1;SLC8A3;CACNG7;MYBPC1;MYL2;ATP1A4;TNNI2;VIM;SCN4B;VCL;KCNK3;SLC8A2
Crosslinking of Collagen Fibrils	4/18	1.833337611177266e-4	0.0063543395826983	0	0	17.28087912087912	148.68817875530988	COL1A1;COL1A2;LOXL3;PCOLCE
Inactivation, Recovery and Regulation of the Phototransduction Cascade	5/33	1.899394983958731e-4	0.0063543395826983	0	0	10.826168430335096	92.76732580870124	GRK1;GRK7;GUCA1B;RHO;SAG
The Phototransduction Cascade	5/34	2.197115713790992e-4	0.00703077028413117	0	0	10.452320136228185	88.04192977921853	GRK1;GRK7;GUCA1B;RHO;SAG
Ligand-receptor Interactions	3/8	2.3232408242290705e-4	0.00712460519430248	0	0	36.195092024539875	302.85798971509035	DHH;PTCH1;IHH
Potassium Channels	8/103	3.019732245234057e-4	0.00889009172996906	0	0	5.135530414822102	41.62435837634597	KCNG1;KCNF1;KCNV2;KCNH5;GNGT2;KCNN1;GNB3;KCNK3
