stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000003084	9606.ENSP00000446007	CFTR	VIM	9606	0.432	0	0	0	0.055	0.312	0	0.196
9606.ENSP00000003084	9606.ENSP00000360493	CFTR	RUNX2	9606	0.434	0	0	0	0.051	0	0	0.428
9606.ENSP00000003084	9606.ENSP00000401010	CFTR	CAPZB	9606	0.451	0	0	0	0.07	0.098	0	0.399
9606.ENSP00000003084	9606.ENSP00000303394	CFTR	HSPB3	9606	0.502	0	0	0	0	0	0	0.502
9606.ENSP00000003084	9606.ENSP00000402152	CFTR	SLC12A3	9606	0.544	0	0	0	0.055	0.071	0	0.522
9606.ENSP00000003084	9606.ENSP00000306275	CFTR	KCNK3	9606	0.555	0	0	0	0.042	0	0	0.555
9606.ENSP00000003084	9606.ENSP00000339867	CFTR	CLCN1	9606	0.598	0	0	0	0.051	0	0	0.594
9606.ENSP00000005178	9606.ENSP00000254657	PDK4	PER2	9606	0.408	0	0	0	0.042	0	0	0.408
9606.ENSP00000005178	9606.ENSP00000389814	PDK4	ADIPOQ	9606	0.44	0	0	0	0.053	0	0	0.433
9606.ENSP00000005178	9606.ENSP00000261507	PDK4	MSMO1	9606	0.452	0	0	0	0.063	0.048	0	0.435
9606.ENSP00000005178	9606.ENSP00000365016	PDK4	IRS2	9606	0.453	0	0	0	0.102	0.071	0	0.397
9606.ENSP00000005178	9606.ENSP00000363868	PDK4	ABCA1	9606	0.473	0	0	0	0.06	0.045	0.183	0.366
9606.ENSP00000005178	9606.ENSP00000492001	PDK4	PFKFB3	9606	0.485	0	0	0	0.057	0	0	0.476
9606.ENSP00000005178	9606.ENSP00000462521	PDK4	TXNIP	9606	0.514	0	0	0	0.068	0	0	0.5
9606.ENSP00000005178	9606.ENSP00000262430	PDK4	MLYCD	9606	0.53	0	0	0	0.067	0	0	0.516
9606.ENSP00000005178	9606.ENSP00000496597	PDK4	PFKM	9606	0.548	0.043	0	0	0.056	0.067	0	0.527
9606.ENSP00000005178	9606.ENSP00000368880	PDK4	FOXO1	9606	0.617	0	0	0	0.064	0	0	0.607
9606.ENSP00000005178	9606.ENSP00000319814	PDK4	PCK1	9606	0.624	0	0	0	0.084	0	0	0.607
9606.ENSP00000005178	9606.ENSP00000379011	PDK4	CPT1B	9606	0.725	0	0	0	0.1	0	0	0.707
9606.ENSP00000005178	9606.ENSP00000420927	PDK4	PDK2	9606	0.795	0	0	0.056	0.048	0.785	0	0.064
9606.ENSP00000006015	9606.ENSP00000307321	HOXA11	HOXC10	9606	0.4	0	0	0	0.238	0	0	0.245
9606.ENSP00000006015	9606.ENSP00000249501	HOXA11	HOXD10	9606	0.432	0	0	0	0.278	0	0	0.244
9606.ENSP00000006015	9606.ENSP00000302846	HOXA11	PTGER4	9606	0.442	0	0	0	0	0	0	0.442
9606.ENSP00000006015	9606.ENSP00000368880	HOXA11	FOXO1	9606	0.853	0	0	0	0	0.308	0	0.796
9606.ENSP00000054668	9606.ENSP00000332225	UTS2	PMCH	9606	0.582	0	0	0	0.06	0	0.4	0.318
9606.ENSP00000176183	9606.ENSP00000296271	DRD4	RHO	9606	0.425	0	0	0	0.131	0	0	0.365
9606.ENSP00000176183	9606.ENSP00000297323	DRD4	ADCY1	9606	0.505	0	0	0	0	0	0	0.505
9606.ENSP00000176183	9606.ENSP00000359285	DRD4	CHRNA4	9606	0.732	0	0	0	0.073	0	0	0.722
9606.ENSP00000176183	9606.ENSP00000421710	DRD4	GNGT2	9606	0.794	0	0	0	0.194	0.12	0.65	0.27
9606.ENSP00000176183	9606.ENSP00000229264	DRD4	GNB3	9606	0.837	0	0	0	0.048	0.292	0.65	0.394
9606.ENSP00000177694	9606.ENSP00000242480	TBX21	EGR2	9606	0.497	0	0	0	0.131	0.057	0	0.435
9606.ENSP00000177694	9606.ENSP00000368880	TBX21	FOXO1	9606	0.637	0	0	0	0.063	0.063	0	0.62
9606.ENSP00000177694	9606.ENSP00000478672	TBX21	RAG2	9606	0.744	0	0	0	0	0	0	0.744
