gene_id	WT_48hpf_R1	WT_48hpf_R2	WT_48hpf_R3	MT_48hpf_R1	MT_48hpf_R2	MT_48hpf_R3
LOC100000024	21.591	15.945	34.032	22.465	109.794	13.378
LOC100000034	0	3.339	0	0	4	0
LOC100000576	628	513	399	173	547	313
LOC100000851	5	1.912	2.664	1	2.234	3
LOC100001344	91	75	61	32	69	58
LOC100001444	0	0	0	0	0	0
LOC100001550	61	30	32	37	47	46
LOC100001804	0	0	0	0	0	0
LOC100002237	0	0	3.663	0	3.362	4.445
LOC100002333	90.229	60.909	61.729	51.45	68.734	62
LOC100002960	34	9	19	3	6	8
LOC100003140	0	0	0	0	0	0
LOC100003286	0	0	0	1	0	0
LOC100003308	21.179	13.111	4.103	2.124	2.8	8.902
LOC100003647	8	12	12	2	7	1
LOC100005807	0	0	1	0	0	0
LOC100006053	5	4	2	13	28	7.588
LOC100006122	17.396	16.277	25.224	6.002	2.26	0
LOC100006564	80.022	48.308	49.947	23.4	38.2	38.583
LOC100006761	1	0	1	0	2	6
LOC100006793	13.42	0	0	64.605	38.011	46.824
LOC100006889	0	0	0	0	0	0
LOC100007315	658.368	474.088	407.251	382.437	528.569	356.209
LOC100007703	6.515	5.407	4.44	0	10.101	1.496
LOC100008037	1	1	0	3	8	4
LOC100141478	3.66	11	0	3.593	3.413	11
LOC100141479	10.34	0	6	12.407	21.587	0
LOC100148329	1954.56	2280.16	1416.19	1767.013	2370.457	2701.895
LOC100149066	2039.765	2438.698	1384.773	1198.89	1379.747	1407.161
LOC100149164	55	44	31	14	29	24
LOC100149189	806.172	821.794	606.911	525.176	685.213	577.039
LOC100149258	273.639	343.079	245.468	102.552	238.043	124.414
LOC100149406	9	7	7	2	4	5
LOC100149443	1	1	0	0	0	0
LOC100149563	0	0	0	0	0	0
LOC100149618	24	24	17	17	22	26
LOC100149863	792.976	868	537.658	705.37	836.216	649.584
LOC100150082	0	8.174	0	0	0	0
LOC100151049	117	89	68	40	78	62
LOC100151273	150	109	109	134	141	169
LOC100151367	1	2	5	0	1	3
LOC100189617	239.018	253.137	189	129.725	317.576	281.574
LOC100216314	0	0	0	0	0	0
LOC100301575	0	2	2.571	3.63	1.381	5.501
LOC100329294	4	7	2	1	6	4
LOC100330584	0	0	0	0	1	0
LOC100331176	3	8	10	0	1	0
LOC100331190	743	784	624	282	317	393
LOC100331689	0	1	0	0	0	0
LOC100332913	164	134	141	69	77	59
LOC100333064	4590	3990	3228	1911	3808	2646
LOC100334155	0	0	0	0	0	0
LOC100499487	0	0	0	0	0	0
LOC100500728	126	123	82	68	110	96
LOC100534660	431	386	299	147	329	206
LOC100535473	1	0	3.001	0	4.014	2.001
LOC100535586	577	533	382	156	229	209
LOC100536659	235	230.616	154.896	91.942	258	196.889
LOC100537295	6998	5912	4338	2180	2874	2089
LOC100537897	109	79	113	22	50	38
LOC101882557	151	105	107	25	28	53
LOC101886520	12.22	7.844	2.731	7.638	16.106	3.794
LOC101886726	441	385	328	122	241	168
LOC101887004	28.453	15	28	23	38	29
LOC101887113	1351	1163	877	357	765	622
LOC405768	439	442	289	87	154	128
LOC553228	48	71	43	24	60	37
LOC553308	0	0	0	0	0	0
LOC553446	54	29	39	28	21	31
LOC553495	382	358	254	223	347	287
LOC554386	1181	1013	851	609	1077	886
LOC554736	177.55	167.488	143.905	138.159	223.288	214.84
LOC554962	193.489	202.556	151.184	82.085	207.896	125.539
LOC556124	2584	2224	1696	1825	2775	2417
LOC556326	237.076	212.879	176.987	91.913	183.376	143.968
LOC556451	9	8	7	1	12	4
LOC556480	216	184	182	123	220	196
LOC556846	862	820	629	655	1143	759
LOC557028	1456	1308	997	486	794	611
LOC557756	1	2	1	0	3	1
LOC558044	11472	11295	8402	5462	6507	6755
LOC558818	168	176	113	33	55	49
LOC559008	312	282	223	96	204	155
LOC559147	101	123	83	67	102	96
LOC560084	79	82	68	28	54	52
LOC560232	71.426	63.632	56.357	13.342	24.175	26.18
LOC561143	1369.99	1486.278	935.299	936.396	1340.228	1029.981
LOC562139	2	0	6	0	3	4
LOC563738	781.136	860.959	598.136	288.954	583.573	279.437
LOC564060	1.053	3.345	0	0	0	0
LOC564145	0	0	0	0	0	0
LOC564685	115	88	80	46	82	68
LOC564840	2033.063	1851.86	1531.752	615.642	924.393	780.515
LOC564868	208.738	179.995	183.408	108.786	164.932	171.409
LOC565175	152	128	89	80	132	96
LOC565231	88.321	90.781	75.127	65.248	77.505	35.062
LOC565422	262	200	161	162	262	217
LOC566050	2.029	4.089	2	6.239	5.146	9.157
LOC566052	888.621	808.217	642.492	676.232	1397.543	915.574
LOC566907	44	32	23	12	29	8
