zfish_symbol	human_symbol	orthology_type	confidence	n_human_partners
aacs	AACS	ortholog_one2one	1	1
aagab	AAGAB	ortholog_one2one	1	1
aamdc	AAMDC	ortholog_one2one	1	1
aamp	AAMP	ortholog_one2one	1	1
aanat1	AANAT	ortholog_one2one	1	1
aar2	AAR2	ortholog_one2one	1	1
aarsd1	AARSD1	ortholog_one2one	1	1
aasdhppt	AASDHPPT	ortholog_one2one	1	1
aass	AASS	ortholog_one2one	1	1
aatf	AATF	ortholog_one2one	1	1
abat	ABAT	ortholog_one2one	1	1
abca1a	ABCA1	ortholog_one2one	1	1
abca4a	ABCA4	ortholog_one2many	1	1
abca5	ABCA10	ortholog_one2many	0	5
abca5	ABCA13	ortholog_one2many	0	5
abca5	ABCA6	ortholog_one2many	0	5
abca5	ABCA8	ortholog_one2many	0	5
abca5	ABCA9	ortholog_one2many	0	5
abcb4	ABCB4	ortholog_one2one	1	1
abcb6a	ABCB6	ortholog_one2many	1	1
abcb8	ABCB8	ortholog_one2one	1	1
abcb9	ABCB9	ortholog_one2one	1	1
abcc2	ABCC6	ortholog_one2many	0	1
abcc4	ABCC4	ortholog_one2one	1	1
abcc5	ABCC5	ortholog_one2one	1	1
abcc8	ABCC8	ortholog_one2many	1	1
abcc9	ABCC9	ortholog_one2one	1	1
abcd1	ABCD1	ortholog_one2one	1	1
abcd3a	ABCD3	ortholog_one2many	1	1
abcd3b	ABCD3	ortholog_one2many	1	1
abcd4	ABCD4	ortholog_one2one	1	1
abce1	ABCE1	ortholog_one2one	1	1
abcf1	ABCF1	ortholog_one2one	1	1
abcf2a	ABCF2	ortholog_one2many	1	1
abcg1	ABCG1	ortholog_one2one	1	1
abcg2b	ABCG2	ortholog_one2one	0	1
abcg4b	ABCG4	ortholog_one2many	1	1
abcg5	ABCG5	ortholog_one2one	1	1
abcg8	ABCG8	ortholog_one2one	1	1
abhd11	ABHD11	ortholog_one2one	1	1
abhd12	ABHD12	ortholog_many2many	1	3
abhd12	ABHD12B	ortholog_many2many	0	3
abhd12	ABHD16B	ortholog_many2many	0	3
abhd13	ABHD13	ortholog_one2one	1	1
abhd14a	ABHD14A	ortholog_one2one	1	1
abhd14b	ABHD14B	ortholog_one2one	1	1
abhd16a	ABHD16A	ortholog_one2one	1	1
abhd17aa	ABHD17A	ortholog_one2many	1	1
abhd17b	ABHD17B	ortholog_one2one	1	1
abhd2a	ABHD2	ortholog_one2many	1	1
abhd2b	ABHD2	ortholog_one2many	1	1
abhd3	ABHD3	ortholog_one2one	1	1
abhd4	ABHD4	ortholog_one2one	1	1
abhd6b	ABHD6	ortholog_one2many	1	1
abi1a	ABI1	ortholog_one2many	1	1
abi1b	ABI1	ortholog_one2many	1	1
abi2a	ABI2	ortholog_one2many	1	1
abi2b	ABI2	ortholog_one2many	1	1
abi3bpb	ABI3BP	ortholog_one2many	0	1
abl2	ABL2	ortholog_one2one	1	1
ablim1a	ABLIM1	ortholog_one2many	1	1
ablim1b	ABLIM1	ortholog_one2many	1	1
ablim3	ABLIM3	ortholog_one2one	1	1
abrab	ABRA	ortholog_one2one	1	1
abracl	ABRACL	ortholog_one2one	1	1
abt1	ABT1	ortholog_one2one	1	1
acaa1	ACAA1	ortholog_one2one	1	1
acaa2	ACAA2	ortholog_one2many	1	1
acaca	ACACA	ortholog_one2one	1	1
